,A(x),B(Y)
,"-103,982","1,67E-06"
,"-103,98","8,20E-07"
,"-103,978","-1,40E-07"
,"-103,976","7,00E-08"
,"-103,974","3,49E-06"
,"-103,972","6,54E-06"
,"-103,97","4,64E-06"
,"-103,968","6,58E-06"
,"-103,966","4,92E-06"
,"-103,964","6,70E-07"
,"-103,962","-1,26E-06"
,"-103,96","-6,40E-07"
,"-103,958","1,43E-06"
,"-103,956","2,90E-06"
,"-103,954","3,69E-06"
,"-103,952","6,03E-06"
,"-103,95","3,59E-06"
,"-103,948","4,60E-06"
,"-103,946","1,92E-06"
,"-103,944","-8,20E-07"
,"-103,942","9,10E-07"
,"-103,94","5,00E-08"
,"-103,938","1,62E-06"
,"-103,936","2,90E-07"
,"-103,934","3,04E-06"
,"-103,932","2,04E-06"
,"-103,93","-4,24E-06"
,"-103,928","2,32E-06"
,"-103,926","1,78E-06"
,"-103,924","1,29E-06"
,"-103,922","9,10E-07"
,"-103,92","1,90E-06"
,"-103,918","2,21E-06"
,"-103,916","5,14E-06"
,"-103,914","2,72E-06"
,"-103,912","2,47E-06"
,"-103,91","3,13E-06"
,"-103,908","2,14E-06"
,"-103,906","4,89E-06"
,"-103,904","-4,00E-07"
,"-103,902","2,08E-06"
,"-103,9","4,29E-06"
,"-103,898","3,39E-06"
,"-103,896","3,80E-07"
,"-103,894","2,15E-06"
,"-103,892","3,78E-06"
,"-103,89","3,83E-06"
,"-103,888","4,10E-07"
,"-103,886","-1,02E-06"
,"-103,884","-1,64E-06"
,"-103,882","-2,40E-07"
,"-103,88","-1,61E-06"
,"-103,878","-4,91E-06"
,"-103,876","-7,50E-07"
,"-103,874","-1,00E-08"
,"-103,872","1,43E-06"
,"-103,87","1,55E-06"
,"-103,868","4,00E-08"
,"-103,866","4,80E-07"
,"-103,864","-8,50E-07"
,"-103,862","-2,17E-06"
,"-103,86","-4,90E-06"
,"-103,858","-2,27E-06"
,"-103,856","-2,26E-06"
,"-103,854","2,20E-06"
,"-103,852","9,80E-07"
,"-103,85","9,30E-07"
,"-103,848","-1,35E-06"
,"-103,846","-1,52E-06"
,"-103,844","-7,00E-08"
,"-103,842","-5,61E-06"
,"-103,84","-6,31E-06"
,"-103,838","-3,32E-06"
,"-103,836","-2,67E-06"
,"-103,834","-1,34E-06"
,"-103,832","1,00E-06"
,"-103,83","4,41E-06"
,"-103,828","-5,40E-07"
,"-103,826","-1,77E-06"
,"-103,824","-3,20E-07"
,"-103,822","-2,60E-06"
,"-103,82","4,80E-07"
,"-103,818","-6,60E-07"
,"-103,816","1,07E-06"
,"-103,814","1,40E-07"
,"-103,812","3,20E-06"
,"-103,81","2,00E-07"
,"-103,808","-2,04E-06"
,"-103,806","-1,10E-06"
,"-103,804","-4,05E-06"
,"-103,802","-1,30E-06"
,"-103,8","-3,58E-06"
,"-103,798","-2,56E-06"
,"-103,796","-2,37E-06"
,"-103,794","5,20E-07"
,"-103,792","2,44E-06"
,"-103,79","-6,20E-07"
,"-103,788","6,00E-08"
,"-103,786","-2,47E-06"
,"-103,784","-2,42E-06"
,"-103,782","-4,86E-06"
,"-103,78","-4,81E-06"
,"-103,778","-4,20E-06"
,"-103,776","-3,50E-07"
,"-103,774","-1,44E-06"
,"-103,772","8,50E-07"
,"-103,77","2,60E-07"
,"-103,768","2,48E-06"
,"-103,766","5,70E-07"
,"-103,764","-2,44E-06"
,"-103,762","-3,04E-06"
,"-103,76","-3,63E-06"
,"-103,758","-2,04E-06"
,"-103,756","-4,83E-06"
,"-103,754","1,12E-06"
,"-103,752","1,30E-07"
,"-103,75","-2,80E-06"
,"-103,748","-1,34E-06"
,"-103,746","-2,92E-06"
,"-103,744","-1,61E-06"
,"-103,742","-5,38E-06"
,"-103,74","-1,97E-06"
,"-103,738","-1,03E-06"
,"-103,736","1,36E-06"
,"-103,734","1,69E-06"
,"-103,732","1,96E-06"
,"-103,73","4,23E-06"
,"-103,728","2,63E-06"
,"-103,726","1,96E-06"
,"-103,724","-1,70E-07"
,"-103,722","-1,23E-06"
,"-103,72","-6,24E-06"
,"-103,718","-2,75E-06"
,"-103,716","1,99E-06"
,"-103,714","1,68E-06"
,"-103,712","7,70E-07"
,"-103,71","-6,40E-07"
,"-103,708","2,03E-06"
,"-103,706","-2,56E-06"
,"-103,704","-3,97E-06"
,"-103,702","-4,79E-06"
,"-103,7","-5,79E-06"
,"-103,698","-3,57E-06"
,"-103,696","-2,65E-06"
,"-103,694","-2,24E-06"
,"-103,692","-2,29E-06"
,"-103,69","-4,99E-06"
,"-103,688","-3,10E-06"
,"-103,686","-2,65E-06"
,"-103,684","-4,20E-06"
,"-103,682","-5,19E-06"
,"-103,68","-1,86E-06"
,"-103,678","1,01E-06"
,"-103,676","-2,08E-06"
,"-103,674","2,28E-06"
,"-103,672","4,60E-07"
,"-103,67","-9,00E-08"
,"-103,668","-1,70E-07"
,"-103,666","-1,47E-06"
,"-103,664","-1,41E-06"
,"-103,662","-1,05E-06"
,"-103,66","-2,84E-06"
,"-103,658","-7,00E-08"
,"-103,656","-2,11E-06"
,"-103,654","2,88E-06"
,"-103,652","-1,22E-06"
,"-103,65","-1,59E-06"
,"-103,648","-1,25E-06"
,"-103,646","-1,91E-06"
,"-103,644","-4,01E-06"
,"-103,642","-6,09E-06"
,"-103,64","-3,32E-06"
,"-103,638","-2,86E-06"
,"-103,636","-4,36E-06"
,"-103,634","-9,90E-07"
,"-103,632","3,40E-07"
,"-103,63","-2,21E-06"
,"-103,628","-1,04E-05"
,"-103,626","-5,60E-06"
,"-103,624","-4,00E-06"
,"-103,622","-5,96E-06"
,"-103,62","-4,72E-06"
,"-103,618","-1,36E-06"
,"-103,616","-3,83E-06"
,"-103,614","4,60E-07"
,"-103,612","9,40E-07"
,"-103,61","2,78E-06"
,"-103,608","3,39E-06"
,"-103,606","2,89E-06"
,"-103,604","-4,25E-06"
,"-103,602","-1,49E-06"
,"-103,6","-2,44E-06"
,"-103,598","-3,33E-06"
,"-103,596","1,28E-06"
,"-103,594","1,61E-06"
,"-103,592","8,00E-08"
,"-103,59","3,10E-07"
,"-103,588","-1,70E-06"
,"-103,586","-4,70E-07"
,"-103,584","-4,04E-06"
,"-103,582","-4,26E-06"
,"-103,58","-1,78E-06"
,"-103,578","-2,88E-06"
,"-103,576","-3,40E-07"
,"-103,574","4,00E-07"
,"-103,572","6,60E-07"
,"-103,57","2,60E-07"
,"-103,568","1,00E-08"
,"-103,566","-3,17E-06"
,"-103,564","-2,70E-06"
,"-103,562","-4,43E-06"
,"-103,56","-3,07E-06"
,"-103,558","-2,01E-06"
,"-103,556","1,07E-06"
,"-103,554","1,27E-06"
,"-103,552","2,40E-06"
,"-103,55","5,01E-06"
,"-103,548","5,33E-06"
,"-103,546","3,18E-06"
,"-103,544","2,90E-07"
,"-103,542","-1,30E-06"
,"-103,54","8,80E-07"
,"-103,538","6,00E-08"
,"-103,536","2,05E-06"
,"-103,534","4,12E-06"
,"-103,532","3,71E-06"
,"-103,53","3,65E-06"
,"-103,528","3,38E-06"
,"-103,526","2,13E-06"
,"-103,524","1,37E-06"
,"-103,522","-1,91E-06"
,"-103,52","9,80E-07"
,"-103,518","3,07E-06"
,"-103,516","-6,40E-07"
,"-103,514","4,32E-06"
,"-103,512","2,13E-06"
,"-103,51","3,40E-06"
,"-103,508","3,00E-06"
,"-103,506","-1,54E-06"
,"-103,504","-1,01E-06"
,"-103,502","9,00E-08"
,"-103,5","-2,78E-06"
,"-103,498",0
,"-103,496","2,06E-06"
,"-103,494","3,04E-06"
,"-103,492","4,52E-06"
,"-103,49","3,40E-06"
,"-103,488","2,36E-06"
,"-103,486","3,98E-06"
,"-103,484","-6,90E-07"
,"-103,482","-1,24E-06"
,"-103,48","1,35E-06"
,"-103,478","6,80E-07"
,"-103,476","-4,79E-06"
,"-103,474","4,90E-07"
,"-103,472","7,16E-06"
,"-103,47","2,31E-06"
,"-103,468","2,26E-06"
,"-103,466","-9,80E-07"
,"-103,464","-2,03E-06"
,"-103,462","-1,87E-06"
,"-103,46","-3,38E-06"
,"-103,458","2,23E-06"
,"-103,456","1,50E-07"
,"-103,454","5,12E-06"
,"-103,452","6,50E-07"
,"-103,45","1,66E-06"
,"-103,448","2,05E-06"
,"-103,446","-4,80E-07"
,"-103,444","-7,70E-07"
,"-103,442","-1,73E-06"
,"-103,44","-2,08E-06"
,"-103,438","9,30E-07"
,"-103,436","-4,80E-07"
,"-103,434","1,83E-06"
,"-103,432","4,51E-06"
,"-103,43","5,16E-06"
,"-103,428","2,88E-06"
,"-103,426","-8,00E-07"
,"-103,424","-2,32E-06"
,"-103,422","-2,28E-06"
,"-103,42","-2,19E-06"
,"-103,418","6,00E-08"
,"-103,416","-2,12E-06"
,"-103,414","1,53E-06"
,"-103,412","4,40E-07"
,"-103,41","2,70E-07"
,"-103,408","1,24E-06"
,"-103,406","2,74E-06"
,"-103,404","-5,05E-06"
,"-103,402","-5,17E-06"
,"-103,4","-1,83E-06"
,"-103,398","-2,70E-06"
,"-103,396","-2,38E-06"
,"-103,394","1,17E-06"
,"-103,392","2,60E-07"
,"-103,39","6,60E-07"
,"-103,388","-9,00E-08"
,"-103,386","4,60E-07"
,"-103,384","-4,03E-06"
,"-103,382","-2,47E-06"
,"-103,38","-2,97E-06"
,"-103,378","-9,00E-08"
,"-103,376","6,60E-07"
,"-103,374","2,81E-06"
,"-103,372","3,75E-06"
,"-103,37","1,80E-06"
,"-103,368","-3,32E-06"
,"-103,366","-1,92E-06"
,"-103,364","-3,85E-06"
,"-103,362","-2,75E-06"
,"-103,36","-2,46E-06"
,"-103,358","-1,11E-06"
,"-103,356","-3,50E-07"
,"-103,354","1,94E-06"
,"-103,352","2,68E-06"
,"-103,35","4,96E-06"
,"-103,348","2,81E-06"
,"-103,346","7,60E-07"
,"-103,344","-3,95E-06"
,"-103,342","-2,90E-07"
,"-103,34","-7,90E-07"
,"-103,338","-2,07E-06"
,"-103,336","3,17E-06"
,"-103,334","1,93E-06"
,"-103,332","5,15E-06"
,"-103,33","5,50E-06"
,"-103,328","1,22E-06"
,"-103,326","3,99E-06"
,"-103,324","-8,98E-06"
,"-103,322","-1,26E-06"
,"-103,32","-5,60E-07"
,"-103,318","6,50E-07"
,"-103,316","-1,47E-06"
,"-103,314","2,00E-08"
,"-103,312","2,91E-06"
,"-103,31","4,05E-06"
,"-103,308","4,04E-06"
,"-103,306","2,01E-06"
,"-103,304","8,60E-07"
,"-103,302","-8,00E-07"
,"-103,3","-1,61E-06"
,"-103,298","5,90E-07"
,"-103,296","1,29E-06"
,"-103,294","2,86E-06"
,"-103,292","7,20E-07"
,"-103,29","2,61E-06"
,"-103,288","2,37E-06"
,"-103,286","2,35E-06"
,"-103,284","2,70E-07"
,"-103,282","6,30E-07"
,"-103,28","-2,89E-06"
,"-103,278","-2,02E-06"
,"-103,276","-1,00E-07"
,"-103,274","6,80E-07"
,"-103,272","2,36E-06"
,"-103,27","4,42E-06"
,"-103,268","5,50E-06"
,"-103,266","-1,20E-06"
,"-103,264","-9,30E-07"
,"-103,262","-5,56E-06"
,"-103,26","-3,98E-06"
,"-103,258","-2,75E-06"
,"-103,256","2,78E-06"
,"-103,254","-2,90E-07"
,"-103,252","3,20E-07"
,"-103,25","2,69E-06"
,"-103,248","-7,00E-08"
,"-103,246","2,22E-06"
,"-103,244","-7,30E-07"
,"-103,242","-1,20E-07"
,"-103,24","-2,19E-06"
,"-103,238","7,00E-07"
,"-103,236","4,30E-06"
,"-103,234","4,97E-06"
,"-103,232","5,17E-06"
,"-103,23","3,78E-06"
,"-103,228","5,08E-06"
,"-103,226","3,50E-07"
,"-103,224","-3,19E-06"
,"-103,222","3,90E-07"
,"-103,22","9,20E-07"
,"-103,218","3,30E-07"
,"-103,216","2,45E-06"
