A(X);B(X)
123.42857;101.86343
123.57143;100.66088
123.71429;100.51157
123.85714;101.56944
124;102.67708
124.14286;101.51505
124.28571;98.97222
124.42857;100.79745
124.57143;99.95486
124.71429;98.45718
124.85714;97.02546
125;99.2662
125.14286;99.63889
125.28571;105.68634
125.42857;100.23264
125.57143;111.45602
125.71429;117.2963
125.85714;117.9294
126;113.72685
126.14286;113.66782
126.28571;111.21991
126.42857;106.73958
126.57143;107.67593
126.71429;110.63889
126.85714;109.16088
127;104.74769
127.14286;101.46991
127.28571;100.62616
127.42857;105.26389
127.57143;100.60069
127.71429;99.58449
127.85714;98.12269
128;99.65741
128.14286;102.3912
128.28571;100.09143
128.42857;99.29745
128.57143;100.46181
128.71429;101.97338
128.85714;100.91551
129;102.49074
129.14286;100.87037
129.28571;97.60995
129.42857;100.77083
129.57143;100.48958
129.71429;98.11806
129.85714;99.65046
130;101.13426
130.14286;99.62153
130.28571;99.55208
130.42857;101.72917
130.57143;100.31597
130.71429;99.84375
130.85714;98.37269
131;96.85069
131.14286;98.90394
131.28571;103.10301
131.42857;98.47685
131.57143;101.53819
131.71429;100.60417
131.85714;98.9456
132;96.55208
132.14286;100.53819
132.28571;100.25926
132.42857;100.76505
132.57143;98.49421
132.71429;97.7037
132.85714;97.16782
133;98.25694
133.14286;99.49306
133.28571;102.18866
133.42857;103.31829
133.57143;101.36111
133.71429;99.96412
133.85714;98.2419
134;97.87153
134.14286;100.45486
134.28571;101.31366
134.42857;98.4456
134.57143;96.07755
134.71429;96.50926
134.85714;98.1713
135;100.11227
135.14286;98.85764
135.28571;102.12037
135.42857;100.41204
135.57143;98.18634
135.71429;97.90625
135.85714;97.75926
136;101.8669
136.14286;98.95023
136.28571;97.70602
136.42857;100.28125
136.57143;102.7581
136.71429;99
136.85714;101.29282
137;102.85764
137.14286;99.83449
137.28571;99.45602
137.42857;100.78588
137.57143;102.74074
137.71429;100.79745
137.85714;101.17824
138;99.29282
138.14286;100.66435
138.28571;109.43519
138.42857;114.88426
138.57143;117.52431
138.71429;118.19097
138.85714;115.68287
139;112.13889
139.14286;111.53009
139.28571;110.41898
139.42857;112.02083
139.57143;108.2963
139.71429;112.81829
139.85714;107.35417
140;107.02083
140.14286;110.95023
140.28571;104.78819
140.42857;105.51042
140.57143;109.18171
140.71429;108.15857
140.85714;102.51042
141;102.94329
141.14286;103.61111
141.28571;105.17593
141.42857;108.64815
141.57143;104.92824
141.71429;103.14583
141.85714;103.97222
142;103.60301
142.14286;101.47801
142.28571;101.79051
142.42857;102.49769
142.57143;100.75232
142.71429;102.97685
142.85714;102.38194
143;100.87268
143.14286;101.25116
143.28571;101.00116
143.42857;101.56366
143.57143;104.23148
143.71429;101.40741
143.85714;101.44097
144;99.69213
144.14286;100.9919
144.28571;104.07755
144.42857;99.28472
144.57143;102.61574
144.71429;99.92014
144.85714;101.11343
145;101.09259
145.14286;102.73958
145.28571;101.50694
145.42857;102.75926
145.57143;101.15046
145.71429;100.56134
145.85714;100.21296
146;99.17708
146.14286;101.18982
146.28571;100.95486
146.42857;101.12037
146.57143;98.84259
146.71429;101.54167
146.85714;101.15625
147;103.51273
147.14286;100.09722
147.28571;101.1713
147.42857;100.77546
147.57143;99.51852
147.71429;100.64352
147.85714;102.50116
148;99.84028
148.14286;99.59606
148.28571;99.28704
148.42857;98.78935
148.57143;101.95023
148.71429;102.97801
148.85714;104.21991
149;101.30903
149.14286;101.875
149.28571;114.49421
149.42857;114.67245
149.57143;116.53704
149.71429;114.26852
149.85714;112.24653
150;115.50694
150.14286;111.31829
150.28571;108.7338
150.42857;108.54977
150.57143;107.89699
150.71429;106.44676
150.85714;103.87384
151;103.96759
151.14286;111.98843
151.28571;107.59028
151.42857;103.81482
151.57143;103.6169
151.71429;101.75579
151.85714;104.14815
152;107.04977
152.14286;111.61343
152.28571;105.86921
152.42857;105.16667
152.57143;102.55208
152.71429;101.52894
152.85714;104.12616
153;100.80556
153.14286;100.73727
153.28571;98.9456
153.42857;106.42824
153.57143;100.90741
153.71429;101.34838
153.85714;100.0787
154;102.09607
154.14286;100.48148
154.28571;102.01505
154.42857;101.59375
154.57143;103.4919
154.71429;100.3912
154.85714;101.45255
155;103.3206
155.14286;103.44792
155.28571;101.31366
155.42857;101.10417
155.57143;101.83912
155.71429;100.46412
155.85714;100.97107
156;104.2581
156.14286;101.90972
156.28571;100.24884
156.42857;102.09143
156.57143;97.02083
156.71429;97.1331
156.85714;99.23264
157;105.39468
157.14286;101.25463
157.28571;100.5787
157.42857;106.48958
157.57143;114.21991
157.71429;116.72222
157.85714;111.3287
158;111.57407
158.14286;107.78357
158.28571;109.17245
158.42857;106.73727
158.57143;104.70255
158.71429;107.60301
