A(X);B(Y)
1.312;7.40E-07
1.314;2.80E-07
1.316;-7.80E-07
1.318;9.80E-07
1.32;-1.50E-06
1.322;-6.80E-07
1.324;-9.70E-07
1.326;2.48E-06
1.328;5.80E-07
1.33;3.62E-06
1.332;2.88E-06
1.334;2.39E-06
1.336;-2.30E-07
1.338;-1.30E-06
1.34;-2.83E-06
1.342;-2.28E-06
1.344;-2.65E-06
1.346;-2.18E-06
1.348;-7.51E-06
1.35;-1.14E-06
1.352;3.13E-06
1.354;2.72E-06
1.356;1.22E-06
1.358;1.07E-06
1.36;1.27E-06
1.362;-1.61E-06
1.364;-3.26E-06
1.366;-2.99E-06
1.368;-4.00E-07
1.37;6.24E-06
1.372;1.56E-06
1.374;1.36E-06
1.376;1.90E-07
1.378;-2.10E-07
1.38;-3.89E-06
1.382;-4.02E-06
1.384;-1.05E-06
1.386;-1.16E-06
1.388;-1.13E-06
1.39;-1.20E-06
1.392;-9.90E-07
1.394;7.10E-07
1.396;-2.30E-07
1.398;1.14E-06
1.4;-5.46E-06
1.402;-5.64E-06
1.404;-4.33E-06
1.406;-8.80E-07
1.408;-1.51E-06
1.41;-3.16E-06
1.412;0
1.414;-1.03E-06
1.416;1.15E-06
1.418;7.50E-07
1.42;-3.86E-06
1.422;-6.61E-06
1.424;-4.16E-06
1.426;-3.73E-06
1.428;-4.73E-06
1.43;9.20E-07
1.432;1.20E-06
1.434;6.31E-06
1.436;1.17E-06
1.438;4.70E-07
1.44;-1.28E-06
1.442;-3.47E-06
1.444;-4.67E-06
1.446;6.00E-08
1.448;-1.11E-06
1.45;1.88E-06
1.452;2.70E-06
1.454;9.50E-07
1.456;8.60E-07
1.458;-3.97E-06
1.46;-3.59E-06
1.462;-3.29E-06
1.464;-5.63E-06
1.466;-3.70E-06
1.468;-2.94E-06
1.47;-5.80E-07
1.472;-1.32E-06
1.474;-3.31E-06
1.476;-9.70E-07
1.478;-2.10E-06
1.48;-5.32E-06
1.482;-6.62E-06
1.484;-3.48E-06
1.486;-1.35E-06
1.488;-1.51E-06
1.49;-1.70E-07
1.492;-2.16E-06
1.494;1.00E-06
1.496;3.56E-06
1.498;3.39E-06
1.5;-1.13E-05
1.502;-3.16E-06
1.504;-4.56E-06
1.506;3.10E-07
1.508;1.09E-06
1.51;3.34E-06
1.512;3.93E-06
1.514;-5.10E-07
1.516;3.70E-07
1.518;9.60E-07
1.52;1.04E-06
1.522;-3.79E-06
1.524;-5.50E-07
1.526;-2.25E-06
1.528;-1.08E-06
1.53;4.40E-07
1.532;5.50E-07
1.534;3.32E-06
1.536;2.53E-06
1.538;5.00E-07
1.54;-1.59E-06
1.542;-4.01E-06
1.544;-2.44E-06
1.546;-3.50E-06
1.548;-8.10E-07
1.55;-1.78E-06
1.552;-6.50E-07
1.554;1.78E-06
1.556;4.60E-07
1.558;-2.28E-06
1.56;-3.41E-06
1.562;-3.87E-06
1.564;-3.69E-06
1.566;-5.70E-06
1.568;-4.63E-06
1.57;-3.98E-06
1.572;-5.02E-06
1.574;-2.11E-06
1.576;-1.03E-06
1.578;-1.46E-06
1.58;-4.18E-06
1.582;-1.93E-06
1.584;-3.50E-07
1.586;-1.41E-06
1.588;-2.40E-06
1.59;-4.60E-06
1.592;-7.60E-07
1.594;4.52E-06
1.596;3.02E-06
1.598;-1.30E-07
1.6;7.50E-07
1.602;1.49E-06
1.604;1.62E-06
