,A(x),B(Y)
,"-103,92","-2,32E-06"
,"-103,918","-2,85E-06"
,"-103,916","4,10E-07"
,"-103,914","1,90E-07"
,"-103,912","5,30E-07"
,"-103,91","7,10E-07"
,"-103,908","1,84E-06"
,"-103,906","-2,43E-06"
,"-103,904","-2,03E-06"
,"-103,902","-3,90E-06"
,"-103,9","4,00E-07"
,"-103,898","-3,76E-06"
,"-103,896","5,30E-07"
,"-103,894","7,90E-07"
,"-103,892","2,33E-06"
,"-103,89","1,20E-07"
,"-103,888","2,22E-06"
,"-103,886","9,80E-07"
,"-103,884","-1,10E-06"
,"-103,882","-1,54E-06"
,"-103,88","-3,12E-06"
,"-103,878","2,08E-06"
,"-103,876","-1,35E-06"
,"-103,874","-1,10E-07"
,"-103,872","1,37E-06"
,"-103,87","1,74E-06"
,"-103,868","-1,83E-06"
,"-103,866","-2,14E-06"
,"-103,864","-4,07E-06"
,"-103,862","-4,37E-06"
,"-103,86","-2,93E-06"
,"-103,858","-1,31E-06"
,"-103,856","-1,20E-06"
,"-103,854","3,90E-07"
,"-103,852","3,86E-06"
,"-103,85","5,60E-07"
,"-103,848","1,99E-06"
,"-103,846","-1,76E-06"
,"-103,844","-1,93E-06"
,"-103,842","-2,30E-07"
,"-103,84","-3,78E-06"
,"-103,838","-5,10E-07"
,"-103,836","1,61E-06"
,"-103,834","1,44E-06"
,"-103,832","1,97E-06"
,"-103,83","2,11E-06"
,"-103,828","2,64E-06"
,"-103,826","2,16E-06"
,"-103,824","3,90E-07"
,"-103,822","-1,13E-06"
,"-103,82","4,44E-06"
,"-103,818","2,57E-06"
,"-103,816","4,07E-06"
,"-103,814","2,60E-07"
,"-103,812","1,66E-06"
,"-103,81","2,15E-06"
,"-103,808","3,20E-07"
,"-103,806","-1,89E-06"
,"-103,804","-3,01E-06"
,"-103,802","-1,44E-06"
,"-103,8","-5,50E-07"
,"-103,798","-2,71E-06"
,"-103,796","1,67E-06"
,"-103,794","-3,00E-07"
,"-103,792","2,46E-06"
,"-103,79","-3,00E-08"
,"-103,788","6,40E-07"
,"-103,786","-5,00E-07"
,"-103,784","7,30E-07"
,"-103,782","-1,76E-06"
,"-103,78","1,88E-06"
,"-103,778","-7,30E-07"
,"-103,776","1,85E-06"
,"-103,774","4,42E-06"
,"-103,772","2,73E-06"
,"-103,77","3,70E-06"
,"-103,768","-1,00E-08"
,"-103,766","1,54E-06"
,"-103,764","-4,41E-06"
,"-103,762","-4,16E-06"
,"-103,76","-1,46E-06"
,"-103,758","1,07E-06"
,"-103,756","2,50E-06"
,"-103,754","2,58E-06"
,"-103,752","2,66E-06"
,"-103,75","-1,95E-06"
,"-103,748","-9,30E-07"
,"-103,746","-1,70E-07"
,"-103,744","-2,15E-06"
,"-103,742","-3,20E-07"
,"-103,74","2,22E-06"
,"-103,738","3,88E-06"
,"-103,736","2,85E-06"
,"-103,734","2,23E-06"
,"-103,732","1,37E-06"
,"-103,73","1,71E-06"
,"-103,728","-1,99E-06"
,"-103,726","2,30E-07"
,"-103,724","4,38E-06"
,"-103,722","-2,03E-06"
,"-103,72","-1,62E-06"
,"-103,718","-2,15E-06"
,"-103,716","1,18E-06"
,"-103,714","4,30E-07"
,"-103,712","1,67E-06"
,"-103,71","1,14E-06"
,"-103,708","-4,00E-07"
,"-103,706","-1,67E-06"
,"-103,704","-1,11E-06"
,"-103,702","-2,20E-07"
,"-103,7","-2,69E-06"
,"-103,698","-7,20E-07"
,"-103,696","-3,61E-06"
,"-103,694","1,89E-06"
,"-103,692","2,43E-06"
,"-103,69","1,03E-06"
,"-103,688","1,88E-06"
,"-103,686","-1,72E-06"
,"-103,684","-3,99E-06"
,"-103,682","-3,41E-06"
,"-103,68","-2,13E-06"
,"-103,678","1,39E-06"
,"-103,676","2,38E-06"
,"-103,674","2,05E-06"
,"-103,672","6,50E-07"
,"-103,67","1,09E-06"
,"-103,668","1,63E-06"
,"-103,666","-1,26E-06"
,"-103,664","-2,76E-06"
,"-103,662","-1,42E-06"
,"-103,66","-9,00E-08"
,"-103,658","1,62E-06"
,"-103,656","2,50E-06"
,"-103,654","3,29E-06"
,"-103,652","3,44E-06"
,"-103,65","8,20E-07"
,"-103,648","4,31E-06"
,"-103,646","1,77E-06"
,"-103,644","1,28E-06"
,"-103,642","-3,60E-07"
,"-103,64","7,30E-07"
,"-103,638","-6,00E-07"
,"-103,636","5,10E-06"
,"-103,634","4,16E-06"
,"-103,632","4,43E-06"
,"-103,63","-5,30E-07"
,"-103,628","1,96E-06"
,"-103,626","1,41E-06"
,"-103,624","-2,37E-06"
,"-103,622","-2,62E-06"
,"-103,62","-1,64E-06"
,"-103,618","-2,26E-06"
,"-103,616","-8,00E-08"
,"-103,614","1,12E-06"
,"-103,612","1,64E-06"
,"-103,61","7,00E-08"
,"-103,608","-2,50E-07"
,"-103,606","-1,57E-06"
,"-103,604","-2,49E-06"
,"-103,602","-1,59E-06"
,"-103,6","2,70E-07"
,"-103,598","-5,50E-07"
,"-103,596","7,50E-07"
,"-103,594","-5,90E-07"
,"-103,592","4,99E-06"
,"-103,59","-4,10E-07"
,"-103,588","-4,40E-06"
,"-103,586","-3,35E-06"
,"-103,584","-5,25E-06"
,"-103,582","-5,05E-06"
,"-103,58","-1,32E-06"
,"-103,578","-1,45E-06"
,"-103,576","-1,99E-06"
,"-103,574","-4,24E-06"
,"-103,572","-6,80E-07"
,"-103,57","-3,00E-06"
,"-103,568","-6,58E-06"
,"-103,566","-5,90E-06"
,"-103,564","-1,85E-06"
,"-103,562","-2,51E-06"
,"-103,56","-2,61E-06"
,"-103,558","-3,52E-06"
,"-103,556","-1,24E-06"
,"-103,554","-5,00E-08"
,"-103,552","-2,20E-07"
,"-103,55","2,67E-06"
,"-103,548","2,17E-06"
,"-103,546","-3,50E-07"
,"-103,544","-5,90E-07"
,"-103,542","-2,28E-06"
,"-103,54","1,31E-06"
,"-103,538","2,95E-06"
,"-103,536","3,75E-06"
,"-103,534","2,49E-06"
,"-103,532","3,37E-06"
,"-103,53","2,54E-06"
,"-103,528","4,00E-07"
,"-103,526","-1,80E-06"
,"-103,524","-5,41E-06"
,"-103,522","-6,94E-06"
,"-103,52","-5,55E-06"
,"-103,518","-2,29E-06"
,"-103,516","-1,10E-07"
,"-103,514","4,23E-06"
,"-103,512","2,81E-06"
,"-103,51","5,10E-07"
,"-103,508","-7,10E-07"
,"-103,506","-2,99E-06"
,"-103,504","-1,12E-06"
,"-103,502","-4,49E-06"
,"-103,5","-2,40E-06"
,"-103,498","-5,92E-06"
,"-103,496","1,49E-06"
,"-103,494","-2,30E-06"
