Frec,PSD
"8,27E+02","4,49E-09"
"8,28E+02","5,62E-09"
"8,29E+02","6,91E-09"
"8,30E+02","6,93E-09"
"8,31E+02","5,75E-09"
"8,32E+02","5,27E-09"
"8,33E+02","5,10E-09"
"8,34E+02","4,57E-09"
"8,35E+02","4,43E-09"
"8,36E+02","8,53E-09"
"8,37E+02","6,81E-09"
"8,38E+02","4,93E-09"
"8,39E+02","6,34E-09"
"8,40E+02","5,12E-09"
"8,41E+02","5,11E-09"
"8,42E+02","6,42E-09"
"8,43E+02","4,97E-09"
"8,44E+02","6,45E-09"
"8,45E+02","7,50E-09"
"8,46E+02","5,17E-09"
"8,47E+02","4,79E-09"
"8,48E+02","6,66E-09"
"8,49E+02","5,50E-09"
"8,50E+02","4,91E-09"
"8,51E+02","7,90E-09"
"8,52E+02","4,94E-09"
"8,53E+02","5,18E-09"
"8,54E+02","4,95E-09"
"8,55E+02","4,58E-09"
"8,56E+02","7,03E-09"
"8,57E+02","6,47E-09"
"8,58E+02","5,20E-09"
"8,59E+02","6,24E-09"
"8,60E+02","5,58E-09"
"8,61E+02","5,74E-09"
"8,62E+02","4,68E-09"
"8,63E+02","6,48E-09"
"8,64E+02","5,49E-09"
"8,65E+02","5,23E-09"
"8,66E+02","6,85E-09"
"8,67E+02","4,93E-09"
"8,68E+02","4,64E-09"
"8,69E+02","5,68E-09"
"8,70E+02","9,87E-09"
"8,71E+02","4,67E-09"
